title,genre,aspect_one,aspect_two
Altered Carbon,0,2,1
Star Trek: Captain Picard,0,2.39,1
Westworld,0,1.78,1
Stranger Things,0,2,1
The Mandalorian,0,2.39,1
The Flash,0,16,9
Black Mirror,0,1.9,1
The Expanse,0,16,9
Arrow,0,16,9
The Boys,0,2.39,1
The Handmaid’s Tale,0,2,1
Avenue 5,0,16,9
Rick and Morty,0,16,9
Supergirl,0,16,9
The 100,0,16,9
DC’s Legends of Tomorrow,0,16,9
Dark,0,2,1
Titans,0,16,9
Star Trek: Discovery,0,2,1
Batwoman,0,16,9
The Man in the High Castle,0,16,9
Gotham,0,16,9
Tales from the Loop,0,16,9
The Umbrella Academy,0,16,9
Agents of S.H.I.E.L.D.,0,16,9
Lost in Space,0,2,1
See,0,2.1,1
Castle Rock,0,2,1
Fear the Walking Dead,0,16,9
The Twilight Zone,0,16,9
The Orville,0,16,9
My Hero Academia,0,16,9
The Gifted,0,16,9
The Punisher,0,1.78,1
Daredevil,0,1.78,1
Under the Dome,0,16,9
Person of Interest,0,1.78,1
Star Wars Rebels,0,16,9
Doom Patrol,0,16,9
I Am Not Okay with This,1,1.85,1
Sex Education,1,2,1
Brooklyn Nine-Nine,1,16,9
This Is Us,1,16,9
Zoey’s Extraordinary Playlist,1,16,9
Schitt’s Creek,1,16,9
Shameless,1,16,9
BoJack Horseman,1,16,9
Good Girls,1,16,9
The Rookie,1,16,9
The Boys,1,2.39,1
The Good Place,1,16,9
Avenue 5,1,16,9
Rick and Morty,1,16,9
The Marvelous Mrs. Maisel,1,1.78,1
Suits,1,1.78,1
Death in Paradise,1,1.78,1
The Ranch,1,16,9
Harley Quinn,1,1.78,1
Grace and Frankie,1,1.78,1
The Goldbergs,1,16,9
Letterkenny,1,16,9
Fleabag,1,2.35,1
Young Sheldon,1,16,9
Orange Is The New Black,1,1.78,1
Bob’s Burgers,1,1.78,1
The Umbrella Academy,1,16,9
Inside No. 9,1,16,9
The End of the F***ing World,1,1.78,1
Kidding,1,16,9
A Million Little Things,1,16,9
Last Man Standing,1,16,9
Last Tango in Halifax,1,16,9
New Girl,1,16,9
The Conners,1,16,9
Mom,1,1.78,1
Superstore,1,16,9
Miracle Workers,1,16,9
The Orville,1,16,9
My Hero Academia,1,16,9
